,lines,chars,avg_word_length
43,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt",115,5.444444444444445
44,und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt.,77,6.8
45,(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In,111,5.588235294117647
46,diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.,67,5.8
47,Art 3 ,6,2.5
48,,0,0.0
49, ,1,1.0
50,,0,0.0
51,(1) Alle Menschen sind vor dem Gesetz gleich.,45,4.75
52,(2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der,96,6.461538461538462
53,Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin.,98,6.615384615384615
54,"(3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat",106,6.642857142857143
55,"und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt",107,8.0
56,werden. Niemand darf wegen seiner Behinderung benachteiligt werden.,67,7.5
57,Art 4 ,6,2.5
58,,0,0.0
59, ,1,1.0
60,,0,0.0
61,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen",98,6.071428571428571
62,Bekenntnisses sind unverletzlich.,33,10.333333333333334
63,(2) Die ungestörte Religionsausübung wird gewährleistet.,56,8.5
64,(3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt,103,5.5
65,ein Bundesgesetz.,17,8.0
66,Art 5 ,6,2.5
67,,0,0.0
68, ,1,1.0
69,,0,0.0
70,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich",106,4.35
71,aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der,103,7.0
72,Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt.,95,7.0
73,"(2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen",100,6.214285714285714
74,Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre.,75,5.333333333333333
75,"(3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue",111,5.222222222222222
76,zur Verfassung.,15,7.0
77,Art 6 ,6,2.5
78,,0,0.0
79, ,1,1.0
80,,0,0.0
81,(1) Ehe und Familie stehen unter dem besonderen Schutze der staatlichen Ordnung.,80,5.75
82,(2) Pflege und Erziehung der Kinder sind das natürliche Recht der Eltern und die zuvörderst ihnen obliegende,108,5.411764705882353
83,Pflicht. Über ihre Betätigung wacht die staatliche Gemeinschaft.,64,7.125
84,(3) Gegen den Willen der Erziehungsberechtigten dürfen Kinder nur auf Grund eines Gesetzes von der Familie,106,5.6875
85,"getrennt werden, wenn die Erziehungsberechtigten versagen oder wenn die Kinder aus anderen Gründen zu",101,6.285714285714286
86,verwahrlosen drohen.,20,9.5
87,(4) Jede Mutter hat Anspruch auf den Schutz und die Fürsorge der Gemeinschaft.,78,5.076923076923077
88,(5) Den unehelichen Kindern sind durch die Gesetzgebung die gleichen Bedingungen für ihre leibliche und,103,5.933333333333334
89,seelische Entwicklung und ihre Stellung in der Gesellschaft zu schaffen wie den ehelichen Kindern.,98,6.071428571428571
90,Art 7 ,6,2.5
91,,0,0.0
92, ,1,1.0
93,,0,0.0
94,(1) Das gesamte Schulwesen steht unter der Aufsicht des Staates.,64,5.5
95,"(2) Die Erziehungsberechtigten haben das Recht, über die Teilnahme des Kindes am Religionsunterricht zu",103,6.428571428571429
96,bestimmen.,10,10.0
97,,0,0.0
98,- Seite 2 von 50 -,18,2.1666666666666665
99,,0,0.0
100,Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz,72,7.111111111111111
101,sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de,60,7.714285714285714
102,,0,0.0
103,(3) Der Religionsunterricht ist in den öffentlichen Schulen mit Ausnahme der bekenntnisfreien Schulen,101,6.846153846153846
104,ordentliches Lehrfach. Unbeschadet des staatlichen Aufsichtsrechtes wird der Religionsunterricht in,99,9.0
105,Übereinstimmung mit den Grundsätzen der Religionsgemeinschaften erteilt. Kein Lehrer darf gegen seinen,102,7.583333333333333
106,"Willen verpflichtet werden, Religionsunterricht zu erteilen.",60,9.166666666666666
107,(4) Das Recht zur Errichtung von privaten Schulen wird gewährleistet. Private Schulen als Ersatz für öffentliche,112,6.0625
108,Schulen bedürfen der Genehmigung des Staates und unterstehen den Landesgesetzen. Die Genehmigung ist,100,6.769230769230769
109,"zu erteilen, wenn die privaten Schulen in ihren Lehrzielen und Einrichtungen sowie in der wissenschaftlichen",108,6.266666666666667
110,Ausbildung ihrer Lehrkräfte nicht hinter den öffentlichen Schulen zurückstehen und eine Sonderung der Schüler,109,6.857142857142857
111,"nach den Besitzverhältnissen der Eltern nicht gefördert wird. Die Genehmigung ist zu versagen, wenn die",103,5.933333333333334
112,wirtschaftliche und rechtliche Stellung der Lehrkräfte nicht genügend gesichert ist.,84,7.5
113,"(5) Eine private Volksschule ist nur zuzulassen, wenn die Unterrichtsverwaltung ein besonderes pädagogisches",108,7.384615384615385
114,"Interesse anerkennt oder, auf Antrag von Erziehungsberechtigten, wenn sie als Gemeinschaftsschule, als",102,7.583333333333333
115,Bekenntnis- oder Weltanschauungsschule errichtet werden soll und eine öffentliche Volksschule dieser Art in der,111,7.0
116,Gemeinde nicht besteht.,23,7.0
117,(6) Vorschulen bleiben aufgehoben.,34,7.75
118,Art 8 ,6,2.5
119,,0,0.0
120, ,1,1.0
121,,0,0.0
122,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu",99,5.25
123,versammeln.,11,11.0
124,(2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes,102,5.4375
125,beschränkt werden.,18,8.5
126,Art 9 ,6,2.5
127,,0,0.0
128, ,1,1.0
129,,0,0.0
130,"(1) Alle Deutschen haben das Recht, Vereine und Gesellschaften zu bilden.",73,5.7272727272727275
131,"(2) Vereinigungen, deren Zwecke oder deren Tätigkeit den Strafgesetzen zuwiderlaufen oder die sich gegen die",108,6.266666666666667
132,"verfassungsmäßige Ordnung oder gegen den Gedanken der Völkerverständigung richten, sind verboten.",97,7.909090909090909
133,"(3) Das Recht, zur Wahrung und Förderung der Arbeits- und Wirtschaftsbedingungen Vereinigungen zu bilden,",105,6.571428571428571
134,"ist für jedermann und für alle Berufe gewährleistet. Abreden, die dieses Recht einschränken oder zu behindern",109,5.875
135,"suchen, sind nichtig, hierauf gerichtete Maßnahmen sind rechtswidrig. Maßnahmen nach den Artikeln 12a, 35",105,6.571428571428571
136,"Abs. 2 und 3, Artikel 87a Abs. 4 und Artikel 91 dürfen sich nicht gegen Arbeitskämpfe richten, die zur Wahrung",110,4.55
137,und Förderung der Arbeits- und Wirtschaftsbedingungen von Vereinigungen im Sinne des Satzes 1 geführt,101,6.285714285714286
138,werden.,7,7.0
139,Art 10 ,7,3.0
140,,0,0.0
141, ,1,1.0
142,,0,0.0
143,(1) Das Briefgeheimnis sowie das Post- und Fernmeldegeheimnis sind unverletzlich.,81,7.2
144,(2) Beschränkungen dürfen nur auf Grund eines Gesetzes angeordnet werden. Dient die Beschränkung dem,100,6.214285714285714
145,Schutze der freiheitlichen demokratischen Grundordnung oder des Bestandes oder der Sicherung des Bundes,103,7.0
146,"oder eines Landes, so kann das Gesetz bestimmen, daß sie dem Betroffenen nicht mitgeteilt wird und daß an die",109,4.7894736842105265
147,Stelle des Rechtsweges die Nachprüfung durch von der Volksvertretung bestellte Organe und Hilfsorgane tritt.,108,6.785714285714286
148,Art 11 ,7,3.0
149,,0,0.0
150, ,1,1.0
151,,0,0.0
152,(1) Alle Deutschen genießen Freizügigkeit im ganzen Bundesgebiet.,65,7.25
153,(2) Dieses Recht darf nur durch Gesetz oder auf Grund eines Gesetzes und nur für die Fälle eingeschränkt,104,4.833333333333333
154,"werden, in denen eine ausreichende Lebensgrundlage nicht vorhanden ist und der Allgemeinheit daraus",99,6.6923076923076925
155,besondere Lasten entstehen würden oder in denen es zur Abwehr einer drohenden Gefahr für den Bestand,100,5.3125
156,"oder die freiheitliche demokratische Grundordnung des Bundes oder eines Landes, zur Bekämpfung von",98,6.615384615384615
157,"Seuchengefahr, Naturkatastrophen oder besonders schweren Unglücksfällen, zum Schutze der Jugend vor",99,8.090909090909092
158,"Verwahrlosung oder um strafbaren Handlungen vorzubeugen, erforderlich ist.",74,8.375
159,Art 12 ,7,3.0
160,,0,0.0
161, ,1,1.0
162,,0,0.0
163,- Seite 3 von 50 -,18,2.1666666666666665
164,,0,0.0
165,Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz,72,7.111111111111111
166,sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de,60,7.714285714285714
167,,0,0.0
168,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die",97,6.0
169,Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden.,79,6.2727272727272725
170,"(2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen",97,6.0
171,"allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht.",67,10.333333333333334
172,(3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.,89,8.0
173,Art 12a ,8,3.5
174,,0,0.0
175, ,1,1.0
176,,0,0.0
177,"(1) Männer können vom vollendeten achtzehnten Lebensjahr an zum Dienst in den Streitkräften, im",95,5.857142857142857
178,Bundesgrenzschutz oder in einem Zivilschutzverband verpflichtet werden.,71,9.285714285714286
179,"(2) Wer aus Gewissensgründen den Kriegsdienst mit der Waffe verweigert, kann zu einem Ersatzdienst",98,6.071428571428571
180,verpflichtet werden. Die Dauer des Ersatzdienstes darf die Dauer des Wehrdienstes nicht übersteigen. Das,104,6.5
181,"Nähere regelt ein Gesetz, das die Freiheit der Gewissensentscheidung nicht beeinträchtigen darf und auch eine",109,6.333333333333333
182,"Möglichkeit des Ersatzdienstes vorsehen muß, die in keinem Zusammenhang mit den Verbänden der Streitkräfte",106,6.642857142857143
183,und des Bundesgrenzschutzes steht.,34,7.75
184,"(3) Wehrpflichtige, die nicht zu einem Dienst nach Absatz 1 oder 2 herangezogen sind, können im",95,5.0
185,Verteidigungsfalle durch Gesetz oder auf Grund eines Gesetzes zu zivilen Dienstleistungen für Zwecke,100,6.769230769230769
186,der Verteidigung einschließlich des Schutzes der Zivilbevölkerung in Arbeitsverhältnisse verpflichtet,101,9.2
187,werden; Verpflichtungen in öffentlich-rechtliche Dienstverhältnisse sind nur zur Wahrnehmung polizeilicher,106,9.7
188,"Aufgaben oder solcher hoheitlichen Aufgaben der öffentlichen Verwaltung, die nur in einem öffentlichrechtlichen Dienstverhältnis erfüllt werden können, zulässig. Arbeitsverhältnisse nach Satz 1 können bei",204,7.541666666666667
189,"den Streitkräften, im Bereich ihrer Versorgung sowie bei der öffentlichen Verwaltung begründet werden;",102,6.923076923076923
190,"Verpflichtungen in Arbeitsverhältnisse im Bereiche der Versorgung der Zivilbevölkerung sind nur zulässig, um",108,7.384615384615385
191,ihren lebensnotwendigen Bedarf zu decken oder ihren Schutz sicherzustellen.,75,7.444444444444445
192,(4) Kann im Verteidigungsfalle der Bedarf an zivilen Dienstleistungen im zivilen Sanitäts- und Heilwesen sowie,110,6.4
193,"in der ortsfesten militärischen Lazarettorganisation nicht auf freiwilliger Grundlage gedeckt werden, so können",111,7.615384615384615
194,Frauen vom vollendeten achtzehnten bis zum vollendeten fünfundfünfzigsten Lebensjahr durch Gesetz oder,102,7.583333333333333
195,auf Grund eines Gesetzes zu derartigen Dienstleistungen herangezogen werden. Sie dürfen auf keinen Fall zum,107,6.2
196,Dienst mit der Waffe verpflichtet werden.,41,6.0
197,(5) Für die Zeit vor dem Verteidigungsfalle können Verpflichtungen nach Absatz 3 nur nach Maßgabe des,101,5.375
198,"Artikels 80a Abs. 1 begründet werden. Zur Vorbereitung auf Dienstleistungen nach Absatz 3, für die besondere",108,5.8125
199,"Kenntnisse oder Fertigkeiten erforderlich sind, kann durch Gesetz oder auf Grund eines Gesetzes die Teilnahme",109,6.333333333333333
200,an Ausbildungsveranstaltungen zur Pflicht gemacht werden. Satz 1 findet insoweit keine Anwendung.,97,7.166666666666667
201,(6) Kann im Verteidigungsfalle der Bedarf an Arbeitskräften für die in Absatz 3 Satz 2 genannten Bereiche auf,109,5.111111111111111
202,"freiwilliger Grundlage nicht gedeckt werden, so kann zur Sicherung dieses Bedarfs die Freiheit der Deutschen,",109,6.333333333333333
203,"die Ausübung eines Berufs oder den Arbeitsplatz aufzugeben, durch Gesetz oder auf Grund eines Gesetzes",102,5.866666666666666
204,eingeschränkt werden. Vor Eintritt des Verteidigungsfalles gilt Absatz 5 Satz 1 entsprechend.,93,6.833333333333333
205,Art 13 ,7,3.0
206,,0,0.0
207, ,1,1.0
208,,0,0.0
209,(1) Die Wohnung ist unverletzlich.,34,6.0
210,"(2) Durchsuchungen dürfen nur durch den Richter, bei Gefahr im Verzuge auch durch die in den Gesetzen",101,5.0
211,vorgesehenen anderen Organe angeordnet und nur in der dort vorgeschriebenen Form durchgeführt werden.,101,6.846153846153846
212,"(3) Begründen bestimmte Tatsachen den Verdacht, daß jemand eine durch Gesetz einzeln bestimmte besonders",104,6.5
213,"schwere Straftat begangen hat, so dürfen zur Verfolgung der Tat auf Grund richterlicher Anordnung technische",108,6.266666666666667
214,"Mittel zur akustischen Überwachung von Wohnungen, in denen der Beschuldigte sich vermutlich aufhält,",100,6.769230769230769
215,"eingesetzt werden, wenn die Erforschung des Sachverhalts auf andere Weise unverhältnismäßig erschwert oder",106,7.230769230769231
216,aussichtslos wäre. Die Maßnahme ist zu befristen. Die Anordnung erfolgt durch einen mit drei Richtern besetzten,111,6.0
217,Spruchkörper. Bei Gefahr im Verzuge kann sie auch durch einen einzelnen Richter getroffen werden.,97,6.0
218,"(4) Zur Abwehr dringender Gefahren für die öffentliche Sicherheit, insbesondere einer gemeinen Gefahr oder",106,6.642857142857143
219,"einer Lebensgefahr, dürfen technische Mittel zur Überwachung von Wohnungen nur auf Grund richterlicher",102,6.923076923076923
220,,0,0.0
221,- Seite 4 von 50 -,18,2.1666666666666665
222,,0,0.0
223,Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz,72,7.111111111111111
224,sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de,60,7.714285714285714
225,,0,0.0
226,Anordnung eingesetzt werden. Bei Gefahr im Verzuge kann die Maßnahme auch durch eine andere gesetzlich,102,5.866666666666666
227,bestimmte Stelle angeordnet werden; eine richterliche Entscheidung ist unverzüglich nachzuholen.,96,8.7
228,(5) Sind technische Mittel ausschließlich zum Schutze der bei einem Einsatz in Wohnungen tätigen Personen,105,6.066666666666666
229,"vorgesehen, kann die Maßnahme durch eine gesetzlich bestimmte Stelle angeordnet werden. Eine anderweitige",105,7.153846153846154
230,Verwertung der hierbei erlangten Erkenntnisse ist nur zum Zwecke der Strafverfolgung oder der Gefahrenabwehr,108,6.785714285714286
231,"und nur zulässig, wenn zuvor die Rechtmäßigkeit der Maßnahme richterlich festgestellt ist; bei Gefahr im",104,6.0
232,Verzuge ist die richterliche Entscheidung unverzüglich nachzuholen.,67,8.714285714285714
233,(6) Die Bundesregierung unterrichtet den Bundestag jährlich über den nach Absatz 3 sowie über den im,100,5.3125
234,"Zuständigkeitsbereich des Bundes nach Absatz 4 und, soweit richterlich überprüfungsbedürftig, nach Absatz",105,7.833333333333333
235,5 erfolgten Einsatz technischer Mittel. Ein vom Bundestag gewähltes Gremium übt auf der Grundlage dieses,104,6.0
236,Berichts die parlamentarische Kontrolle aus. Die Länder gewährleisten eine gleichwertige parlamentarische,105,8.636363636363637
237,Kontrolle.,10,10.0
238,(7) Eingriffe und Beschränkungen dürfen im übrigen nur zur Abwehr einer gemeinen Gefahr oder einer,98,5.6
239,"Lebensgefahr für einzelne Personen, auf Grund eines Gesetzes auch zur Verhütung dringender Gefahren",99,6.6923076923076925
240,"für die öffentliche Sicherheit und Ordnung, insbesondere zur Behebung der Raumnot, zur Bekämpfung von",101,6.285714285714286
241,Seuchengefahr oder zum Schutze gefährdeter Jugendlicher vorgenommen werden.,75,8.5
242,Fußnote,7,7.0
243,Art. 13 Abs. 3: Eingef. durch Art. 1 Nr. 1 G v. 26.3.1998 I 610 mWv 1.4.1998; mit GG Art. 79 Abs. 3 vereinbar,109,3.5833333333333335
244,"gem. BVerfGE v. 3.3.2004 (1 BvR 2378/98, 1 BvR 1084/99)",55,4.6
245,Art 14 ,7,3.0
246,,0,0.0
247, ,1,1.0
248,,0,0.0
249,(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze,101,5.8
250,bestimmt.,9,9.0
251,(2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.,90,6.583333333333333
252,(3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf,100,4.9411764705882355
253,"Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter",103,5.933333333333334
254,gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der,104,6.0
255,Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.,86,6.909090909090909
256,Art 15 ,7,3.0
257,,0,0.0
258, ,1,1.0
259,,0,0.0
260,"Grund und Boden, Naturschätze und Produktionsmittel können zum Zwecke der Vergesellschaftung durch",98,7.25
261,"ein Gesetz, das Art und Ausmaß der Entschädigung regelt, in Gemeineigentum oder in andere Formen der",100,5.3125
262,Gemeinwirtschaft überführt werden. Für die Entschädigung gilt Artikel 14 Abs. 3 Satz 3 und 4 entsprechend.,106,5.6875
263,Art 16 ,7,3.0
264,,0,0.0
265, ,1,1.0
266,,0,0.0
267,(1) Die deutsche Staatsangehörigkeit darf nicht entzogen werden. Der Verlust der Staatsangehörigkeit darf,105,7.153846153846154
268,"nur auf Grund eines Gesetzes und gegen den Willen des Betroffenen nur dann eintreten, wenn der Betroffene",105,5.235294117647059
269,dadurch nicht staatenlos wird.,30,6.75
270,(2) Kein Deutscher darf an das Ausland ausgeliefert werden. Durch Gesetz kann eine abweichende Regelung,103,5.933333333333334
271,für Auslieferungen an einen Mitgliedstaat der Europäischen Union oder an einen internationalen Gerichtshof,106,7.230769230769231
272,"getroffen werden, soweit rechtsstaatliche Grundsätze gewahrt sind.",66,8.571428571428571
273,Art 16a ,8,3.5
274,,0,0.0
275, ,1,1.0
276,,0,0.0
277,(1) Politisch Verfolgte genießen Asylrecht.,43,7.8
278,"(2) Auf Absatz 1 kann sich nicht berufen, wer aus einem Mitgliedstaat der Europäischen Gemeinschaften oder",106,5.6875
279,"aus einem anderen Drittstaat einreist, in dem die Anwendung des Abkommens über die Rechtsstellung der",101,5.8
280,Flüchtlinge und der Konvention zum Schutze der Menschenrechte und Grundfreiheiten sichergestellt ist. Die,105,7.153846153846154
281,"Staaten außerhalb der Europäischen Gemeinschaften, auf die die Voraussetzungen des Satzes 1 zutreffen,",102,6.923076923076923
282,"werden durch Gesetz, das der Zustimmung des Bundesrates bedarf, bestimmt. In den Fällen des Satzes 1 können",107,5.352941176470588
283,,0,0.0
284,- Seite 5 von 50 -,18,2.1666666666666665
285,,0,0.0
286,Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz,72,7.111111111111111
287,sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de,60,7.714285714285714
288,,0,0.0
289,aufenthaltsbeendende Maßnahmen unabhängig von einem hiergegen eingelegten Rechtsbehelf vollzogen,96,9.777777777777779
290,werden.,7,7.0
291,"(3) Durch Gesetz, das der Zustimmung des Bundesrates bedarf, können Staaten bestimmt werden, bei denen",102,5.866666666666666
292,"auf Grund der Rechtslage, der Rechtsanwendung und der allgemeinen politischen Verhältnisse gewährleistet",104,7.75
293,"erscheint, daß dort weder politische Verfolgung noch unmenschliche oder erniedrigende Bestrafung oder",101,7.5
294,"Behandlung stattfindet. Es wird vermutet, daß ein Ausländer aus einem solchen Staat nicht verfolgt wird, solange",112,6.0625
295,"er nicht Tatsachen vorträgt, die die Annahme begründen, daß er entgegen dieser Vermutung politisch verfolgt",107,6.2
296,wird.,5,5.0
297,(4) Die Vollziehung aufenthaltsbeendender Maßnahmen wird in den Fällen des Absatzes 3 und in anderen,100,5.733333333333333
298,"Fällen, die offensichtlich unbegründet sind oder als offensichtlich unbegründet gelten, durch das Gericht nur",109,6.857142857142857
299,"ausgesetzt, wenn ernstliche Zweifel an der Rechtmäßigkeit der Maßnahme bestehen; der Prüfungsumfang kann",104,7.076923076923077
300,eingeschränkt werden und verspätetes Vorbringen unberücksichtigt bleiben. Das Nähere ist durch Gesetz zu,104,7.076923076923077
301,bestimmen.,10,10.0
302,(5) Die Absätze 1 bis 4 stehen völkerrechtlichen Verträgen von Mitgliedstaaten der Europäischen,95,6.384615384615385
303,"Gemeinschaften untereinander und mit dritten Staaten nicht entgegen, die unter Beachtung der Verpflichtungen",108,7.384615384615385
304,aus dem Abkommen über die Rechtsstellung der Flüchtlinge und der Konvention zum Schutze der,91,5.571428571428571
305,"Menschenrechte und Grundfreiheiten, deren Anwendung in den Vertragsstaaten sichergestellt sein muß,",99,8.090909090909092
306,Zuständigkeitsregelungen für die Prüfung von Asylbegehren einschließlich der gegenseitigen Anerkennung von,106,8.727272727272727
307,Asylentscheidungen treffen.,27,13.0
308,Fußnote,7,7.0
309,Art. 16a: Eingef. durch Art. 1 Nr. 2 G v. 28.6.1993 I 1002 mWv 30.6.1993; mit Art. 79 Abs. 3 GG (100-1) vereinbar,113,3.9565217391304346
310,"gem. BVerfGE v. 14.5.1996 I 952 (2 BvR 1938/93, 2 BvR 2315/93)",62,4.25
311,Art 17 ,7,3.0
312,,0,0.0
313, ,1,1.0
314,,0,0.0
315,"Jedermann hat das Recht, sich einzeln oder in Gemeinschaft mit anderen schriftlich mit Bitten oder Beschwerden",110,5.9375
316,an die zuständigen Stellen und an die Volksvertretung zu wenden.,64,5.5
317,Art 17a ,8,3.5
318,,0,0.0
319, ,1,1.0
320,,0,0.0
321,"(1) Gesetze über Wehrdienst und Ersatzdienst können bestimmen, daß für die Angehörigen der Streitkräfte und",107,6.2
322,"des Ersatzdienstes während der Zeit des Wehr- oder Ersatzdienstes das Grundrecht, seine Meinung in Wort,",104,6.0
323,"Schrift und Bild frei zu äußern und zu verbreiten (Artikel 5 Abs. 1 Satz 1 erster Halbsatz), das Grundrecht der",111,4.6
324,"Versammlungsfreiheit (Artikel 8) und das Petitionsrecht (Artikel 17), soweit es das Recht gewährt, Bitten oder",110,6.4
325,"Beschwerden in Gemeinschaft mit anderen vorzubringen, eingeschränkt werden.",75,8.5
326,"(2) Gesetze, die der Verteidigung einschließlich des Schutzes der Zivilbevölkerung dienen, können bestimmen,",108,7.384615384615385
327,daß die Grundrechte der Freizügigkeit (Artikel 11) und der Unverletzlichkeit der Wohnung (Artikel 13),101,6.285714285714286
328,eingeschränkt werden.,21,10.0
329,Art 18 ,7,3.0
330,,0,0.0
331, ,1,1.0
332,,0,0.0
333,"Wer die Freiheit der Meinungsäußerung, insbesondere die Pressefreiheit (Artikel 5 Abs. 1), die Lehrfreiheit",107,6.714285714285714
334,"(Artikel 5 Abs. 3), die Versammlungsfreiheit (Artikel 8), die Vereinigungsfreiheit (Artikel 9), das Brief-, Post- und",117,6.375
335,"Fernmeldegeheimnis (Artikel 10), das Eigentum (Artikel 14) oder das Asylrecht (Artikel 16a) zum Kampfe gegen",108,6.266666666666667
336,"die freiheitliche demokratische Grundordnung mißbraucht, verwirkt diese Grundrechte. Die Verwirkung und ihr",107,8.0
337,Ausmaß werden durch das Bundesverfassungsgericht ausgesprochen.,63,9.666666666666666
338,Art 19 ,7,3.0
339,,0,0.0
340, ,1,1.0
341,,0,0.0
342,(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt,106,6.133333333333334
343,"werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das",106,4.944444444444445
344,Grundrecht unter Angabe des Artikels nennen.,44,6.5
345,(2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden.,81,5.833333333333333
346,"(3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese",107,5.75
