,zeilen,zeichen
31,"Grundlage jeder menschlichen Gemeinschaft, des Friedens und der Gerechtigkeit in der Welt.
",91
32,"(3) Die nachfolgenden Grundrechte binden Gesetzgebung, vollziehende Gewalt und Rechtsprechung als
",98
33,"unmittelbar geltendes Recht.
",29
34,"Art 2 
",7
35,"
",1
36," 
",2
37,"
",1
38,"- Seite 1 von 50 -
",19
39,"
",1
40,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
41,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
42,"
",1
43,"(1) Jeder hat das Recht auf die freie Entfaltung seiner Persönlichkeit, soweit er nicht die Rechte anderer verletzt
",116
44,"und nicht gegen die verfassungsmäßige Ordnung oder das Sittengesetz verstößt.
",78
45,"(2) Jeder hat das Recht auf Leben und körperliche Unversehrtheit. Die Freiheit der Person ist unverletzlich. In
",112
46,"diese Rechte darf nur auf Grund eines Gesetzes eingegriffen werden.
",68
47,"Art 3 
",7
48,"
",1
49," 
",2
50,"
",1
51,"(1) Alle Menschen sind vor dem Gesetz gleich.
",46
52,"(2) Männer und Frauen sind gleichberechtigt. Der Staat fördert die tatsächliche Durchsetzung der
",97
53,"Gleichberechtigung von Frauen und Männern und wirkt auf die Beseitigung bestehender Nachteile hin.
",99
54,"(3) Niemand darf wegen seines Geschlechtes, seiner Abstammung, seiner Rasse, seiner Sprache, seiner Heimat
",107
55,"und Herkunft, seines Glaubens, seiner religiösen oder politischen Anschauungen benachteiligt oder bevorzugt
",108
56,"werden. Niemand darf wegen seiner Behinderung benachteiligt werden.
",68
57,"Art 4 
",7
58,"
",1
59," 
",2
60,"
",1
61,"(1) Die Freiheit des Glaubens, des Gewissens und die Freiheit des religiösen und weltanschaulichen
",99
62,"Bekenntnisses sind unverletzlich.
",34
63,"(2) Die ungestörte Religionsausübung wird gewährleistet.
",57
64,"(3) Niemand darf gegen sein Gewissen zum Kriegsdienst mit der Waffe gezwungen werden. Das Nähere regelt
",104
65,"ein Bundesgesetz.
",18
66,"Art 5 
",7
67,"
",1
68," 
",2
69,"
",1
70,"(1) Jeder hat das Recht, seine Meinung in Wort, Schrift und Bild frei zu äußern und zu verbreiten und sich
",107
71,"aus allgemein zugänglichen Quellen ungehindert zu unterrichten. Die Pressefreiheit und die Freiheit der
",104
72,"Berichterstattung durch Rundfunk und Film werden gewährleistet. Eine Zensur findet nicht statt.
",96
73,"(2) Diese Rechte finden ihre Schranken in den Vorschriften der allgemeinen Gesetze, den gesetzlichen
",101
74,"Bestimmungen zum Schutze der Jugend und in dem Recht der persönlichen Ehre.
",76
75,"(3) Kunst und Wissenschaft, Forschung und Lehre sind frei. Die Freiheit der Lehre entbindet nicht von der Treue
",112
76,"zur Verfassung.
",16
77,"Art 6 
",7
78,"
",1
79," 
",2
80,"
",1
81,"(1) Ehe und Familie stehen unter dem besonderen Schutze der staatlichen Ordnung.
",81
82,"(2) Pflege und Erziehung der Kinder sind das natürliche Recht der Eltern und die zuvörderst ihnen obliegende
",109
83,"Pflicht. Über ihre Betätigung wacht die staatliche Gemeinschaft.
",65
84,"(3) Gegen den Willen der Erziehungsberechtigten dürfen Kinder nur auf Grund eines Gesetzes von der Familie
",107
85,"getrennt werden, wenn die Erziehungsberechtigten versagen oder wenn die Kinder aus anderen Gründen zu
",102
86,"verwahrlosen drohen.
",21
87,"(4) Jede Mutter hat Anspruch auf den Schutz und die Fürsorge der Gemeinschaft.
",79
88,"(5) Den unehelichen Kindern sind durch die Gesetzgebung die gleichen Bedingungen für ihre leibliche und
",104
89,"seelische Entwicklung und ihre Stellung in der Gesellschaft zu schaffen wie den ehelichen Kindern.
",99
90,"Art 7 
",7
91,"
",1
92," 
",2
93,"
",1
94,"(1) Das gesamte Schulwesen steht unter der Aufsicht des Staates.
",65
95,"(2) Die Erziehungsberechtigten haben das Recht, über die Teilnahme des Kindes am Religionsunterricht zu
",104
96,"bestimmen.
",11
97,"
",1
98,"- Seite 2 von 50 -
",19
99,"
",1
100,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
101,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
102,"
",1
103,"(3) Der Religionsunterricht ist in den öffentlichen Schulen mit Ausnahme der bekenntnisfreien Schulen
",102
104,"ordentliches Lehrfach. Unbeschadet des staatlichen Aufsichtsrechtes wird der Religionsunterricht in
",100
105,"Übereinstimmung mit den Grundsätzen der Religionsgemeinschaften erteilt. Kein Lehrer darf gegen seinen
",103
106,"Willen verpflichtet werden, Religionsunterricht zu erteilen.
",61
107,"(4) Das Recht zur Errichtung von privaten Schulen wird gewährleistet. Private Schulen als Ersatz für öffentliche
",113
108,"Schulen bedürfen der Genehmigung des Staates und unterstehen den Landesgesetzen. Die Genehmigung ist
",101
109,"zu erteilen, wenn die privaten Schulen in ihren Lehrzielen und Einrichtungen sowie in der wissenschaftlichen
",109
110,"Ausbildung ihrer Lehrkräfte nicht hinter den öffentlichen Schulen zurückstehen und eine Sonderung der Schüler
",110
111,"nach den Besitzverhältnissen der Eltern nicht gefördert wird. Die Genehmigung ist zu versagen, wenn die
",104
112,"wirtschaftliche und rechtliche Stellung der Lehrkräfte nicht genügend gesichert ist.
",85
113,"(5) Eine private Volksschule ist nur zuzulassen, wenn die Unterrichtsverwaltung ein besonderes pädagogisches
",109
114,"Interesse anerkennt oder, auf Antrag von Erziehungsberechtigten, wenn sie als Gemeinschaftsschule, als
",103
115,"Bekenntnis- oder Weltanschauungsschule errichtet werden soll und eine öffentliche Volksschule dieser Art in der
",112
116,"Gemeinde nicht besteht.
",24
117,"(6) Vorschulen bleiben aufgehoben.
",35
118,"Art 8 
",7
119,"
",1
120," 
",2
121,"
",1
122,"(1) Alle Deutschen haben das Recht, sich ohne Anmeldung oder Erlaubnis friedlich und ohne Waffen zu
",100
123,"versammeln.
",12
124,"(2) Für Versammlungen unter freiem Himmel kann dieses Recht durch Gesetz oder auf Grund eines Gesetzes
",103
125,"beschränkt werden.
",19
126,"Art 9 
",7
127,"
",1
128," 
",2
129,"
",1
130,"(1) Alle Deutschen haben das Recht, Vereine und Gesellschaften zu bilden.
",74
131,"(2) Vereinigungen, deren Zwecke oder deren Tätigkeit den Strafgesetzen zuwiderlaufen oder die sich gegen die
",109
132,"verfassungsmäßige Ordnung oder gegen den Gedanken der Völkerverständigung richten, sind verboten.
",98
133,"(3) Das Recht, zur Wahrung und Förderung der Arbeits- und Wirtschaftsbedingungen Vereinigungen zu bilden,
",106
134,"ist für jedermann und für alle Berufe gewährleistet. Abreden, die dieses Recht einschränken oder zu behindern
",110
135,"suchen, sind nichtig, hierauf gerichtete Maßnahmen sind rechtswidrig. Maßnahmen nach den Artikeln 12a, 35
",106
136,"Abs. 2 und 3, Artikel 87a Abs. 4 und Artikel 91 dürfen sich nicht gegen Arbeitskämpfe richten, die zur Wahrung
",111
137,"und Förderung der Arbeits- und Wirtschaftsbedingungen von Vereinigungen im Sinne des Satzes 1 geführt
",102
138,"werden.
",8
139,"Art 10 
",8
140,"
",1
141," 
",2
142,"
",1
143,"(1) Das Briefgeheimnis sowie das Post- und Fernmeldegeheimnis sind unverletzlich.
",82
144,"(2) Beschränkungen dürfen nur auf Grund eines Gesetzes angeordnet werden. Dient die Beschränkung dem
",101
145,"Schutze der freiheitlichen demokratischen Grundordnung oder des Bestandes oder der Sicherung des Bundes
",104
146,"oder eines Landes, so kann das Gesetz bestimmen, daß sie dem Betroffenen nicht mitgeteilt wird und daß an die
",110
147,"Stelle des Rechtsweges die Nachprüfung durch von der Volksvertretung bestellte Organe und Hilfsorgane tritt.
",109
148,"Art 11 
",8
149,"
",1
150," 
",2
151,"
",1
152,"(1) Alle Deutschen genießen Freizügigkeit im ganzen Bundesgebiet.
",66
153,"(2) Dieses Recht darf nur durch Gesetz oder auf Grund eines Gesetzes und nur für die Fälle eingeschränkt
",105
154,"werden, in denen eine ausreichende Lebensgrundlage nicht vorhanden ist und der Allgemeinheit daraus
",100
155,"besondere Lasten entstehen würden oder in denen es zur Abwehr einer drohenden Gefahr für den Bestand
",101
156,"oder die freiheitliche demokratische Grundordnung des Bundes oder eines Landes, zur Bekämpfung von
",99
157,"Seuchengefahr, Naturkatastrophen oder besonders schweren Unglücksfällen, zum Schutze der Jugend vor
",100
158,"Verwahrlosung oder um strafbaren Handlungen vorzubeugen, erforderlich ist.
",75
159,"Art 12 
",8
160,"
",1
161," 
",2
162,"
",1
163,"- Seite 3 von 50 -
",19
164,"
",1
165,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
166,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
167,"
",1
168,"(1) Alle Deutschen haben das Recht, Beruf, Arbeitsplatz und Ausbildungsstätte frei zu wählen. Die
",98
169,"Berufsausübung kann durch Gesetz oder auf Grund eines Gesetzes geregelt werden.
",80
170,"(2) Niemand darf zu einer bestimmten Arbeit gezwungen werden, außer im Rahmen einer herkömmlichen
",98
171,"allgemeinen, für alle gleichen öffentlichen Dienstleistungspflicht.
",68
172,"(3) Zwangsarbeit ist nur bei einer gerichtlich angeordneten Freiheitsentziehung zulässig.
",90
173,"Art 12a 
",9
174,"
",1
175," 
",2
176,"
",1
177,"(1) Männer können vom vollendeten achtzehnten Lebensjahr an zum Dienst in den Streitkräften, im
",96
178,"Bundesgrenzschutz oder in einem Zivilschutzverband verpflichtet werden.
",72
179,"(2) Wer aus Gewissensgründen den Kriegsdienst mit der Waffe verweigert, kann zu einem Ersatzdienst
",99
180,"verpflichtet werden. Die Dauer des Ersatzdienstes darf die Dauer des Wehrdienstes nicht übersteigen. Das
",105
181,"Nähere regelt ein Gesetz, das die Freiheit der Gewissensentscheidung nicht beeinträchtigen darf und auch eine
",110
182,"Möglichkeit des Ersatzdienstes vorsehen muß, die in keinem Zusammenhang mit den Verbänden der Streitkräfte
",107
183,"und des Bundesgrenzschutzes steht.
",35
184,"(3) Wehrpflichtige, die nicht zu einem Dienst nach Absatz 1 oder 2 herangezogen sind, können im
",96
185,"Verteidigungsfalle durch Gesetz oder auf Grund eines Gesetzes zu zivilen Dienstleistungen für Zwecke
",101
186,"der Verteidigung einschließlich des Schutzes der Zivilbevölkerung in Arbeitsverhältnisse verpflichtet
",102
187,"werden; Verpflichtungen in öffentlich-rechtliche Dienstverhältnisse sind nur zur Wahrnehmung polizeilicher
",107
188,"Aufgaben oder solcher hoheitlichen Aufgaben der öffentlichen Verwaltung, die nur in einem öffentlichrechtlichen Dienstverhältnis erfüllt werden können, zulässig. Arbeitsverhältnisse nach Satz 1 können bei
",205
189,"den Streitkräften, im Bereich ihrer Versorgung sowie bei der öffentlichen Verwaltung begründet werden;
",103
190,"Verpflichtungen in Arbeitsverhältnisse im Bereiche der Versorgung der Zivilbevölkerung sind nur zulässig, um
",109
191,"ihren lebensnotwendigen Bedarf zu decken oder ihren Schutz sicherzustellen.
",76
192,"(4) Kann im Verteidigungsfalle der Bedarf an zivilen Dienstleistungen im zivilen Sanitäts- und Heilwesen sowie
",111
193,"in der ortsfesten militärischen Lazarettorganisation nicht auf freiwilliger Grundlage gedeckt werden, so können
",112
194,"Frauen vom vollendeten achtzehnten bis zum vollendeten fünfundfünfzigsten Lebensjahr durch Gesetz oder
",103
195,"auf Grund eines Gesetzes zu derartigen Dienstleistungen herangezogen werden. Sie dürfen auf keinen Fall zum
",108
196,"Dienst mit der Waffe verpflichtet werden.
",42
197,"(5) Für die Zeit vor dem Verteidigungsfalle können Verpflichtungen nach Absatz 3 nur nach Maßgabe des
",102
198,"Artikels 80a Abs. 1 begründet werden. Zur Vorbereitung auf Dienstleistungen nach Absatz 3, für die besondere
",109
199,"Kenntnisse oder Fertigkeiten erforderlich sind, kann durch Gesetz oder auf Grund eines Gesetzes die Teilnahme
",110
200,"an Ausbildungsveranstaltungen zur Pflicht gemacht werden. Satz 1 findet insoweit keine Anwendung.
",98
201,"(6) Kann im Verteidigungsfalle der Bedarf an Arbeitskräften für die in Absatz 3 Satz 2 genannten Bereiche auf
",110
202,"freiwilliger Grundlage nicht gedeckt werden, so kann zur Sicherung dieses Bedarfs die Freiheit der Deutschen,
",110
203,"die Ausübung eines Berufs oder den Arbeitsplatz aufzugeben, durch Gesetz oder auf Grund eines Gesetzes
",103
204,"eingeschränkt werden. Vor Eintritt des Verteidigungsfalles gilt Absatz 5 Satz 1 entsprechend.
",94
205,"Art 13 
",8
206,"
",1
207," 
",2
208,"
",1
209,"(1) Die Wohnung ist unverletzlich.
",35
210,"(2) Durchsuchungen dürfen nur durch den Richter, bei Gefahr im Verzuge auch durch die in den Gesetzen
",102
211,"vorgesehenen anderen Organe angeordnet und nur in der dort vorgeschriebenen Form durchgeführt werden.
",102
212,"(3) Begründen bestimmte Tatsachen den Verdacht, daß jemand eine durch Gesetz einzeln bestimmte besonders
",105
213,"schwere Straftat begangen hat, so dürfen zur Verfolgung der Tat auf Grund richterlicher Anordnung technische
",109
214,"Mittel zur akustischen Überwachung von Wohnungen, in denen der Beschuldigte sich vermutlich aufhält,
",101
215,"eingesetzt werden, wenn die Erforschung des Sachverhalts auf andere Weise unverhältnismäßig erschwert oder
",107
216,"aussichtslos wäre. Die Maßnahme ist zu befristen. Die Anordnung erfolgt durch einen mit drei Richtern besetzten
",112
217,"Spruchkörper. Bei Gefahr im Verzuge kann sie auch durch einen einzelnen Richter getroffen werden.
",98
218,"(4) Zur Abwehr dringender Gefahren für die öffentliche Sicherheit, insbesondere einer gemeinen Gefahr oder
",107
219,"einer Lebensgefahr, dürfen technische Mittel zur Überwachung von Wohnungen nur auf Grund richterlicher
",103
220,"
",1
221,"- Seite 4 von 50 -
",19
222,"
",1
223,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
224,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
225,"
",1
226,"Anordnung eingesetzt werden. Bei Gefahr im Verzuge kann die Maßnahme auch durch eine andere gesetzlich
",103
227,"bestimmte Stelle angeordnet werden; eine richterliche Entscheidung ist unverzüglich nachzuholen.
",97
228,"(5) Sind technische Mittel ausschließlich zum Schutze der bei einem Einsatz in Wohnungen tätigen Personen
",106
229,"vorgesehen, kann die Maßnahme durch eine gesetzlich bestimmte Stelle angeordnet werden. Eine anderweitige
",106
230,"Verwertung der hierbei erlangten Erkenntnisse ist nur zum Zwecke der Strafverfolgung oder der Gefahrenabwehr
",109
231,"und nur zulässig, wenn zuvor die Rechtmäßigkeit der Maßnahme richterlich festgestellt ist; bei Gefahr im
",105
232,"Verzuge ist die richterliche Entscheidung unverzüglich nachzuholen.
",68
233,"(6) Die Bundesregierung unterrichtet den Bundestag jährlich über den nach Absatz 3 sowie über den im
",101
234,"Zuständigkeitsbereich des Bundes nach Absatz 4 und, soweit richterlich überprüfungsbedürftig, nach Absatz
",106
235,"5 erfolgten Einsatz technischer Mittel. Ein vom Bundestag gewähltes Gremium übt auf der Grundlage dieses
",105
236,"Berichts die parlamentarische Kontrolle aus. Die Länder gewährleisten eine gleichwertige parlamentarische
",106
237,"Kontrolle.
",11
238,"(7) Eingriffe und Beschränkungen dürfen im übrigen nur zur Abwehr einer gemeinen Gefahr oder einer
",99
239,"Lebensgefahr für einzelne Personen, auf Grund eines Gesetzes auch zur Verhütung dringender Gefahren
",100
240,"für die öffentliche Sicherheit und Ordnung, insbesondere zur Behebung der Raumnot, zur Bekämpfung von
",102
241,"Seuchengefahr oder zum Schutze gefährdeter Jugendlicher vorgenommen werden.
",76
242,"Fußnote
",8
243,"Art. 13 Abs. 3: Eingef. durch Art. 1 Nr. 1 G v. 26.3.1998 I 610 mWv 1.4.1998; mit GG Art. 79 Abs. 3 vereinbar
",110
244,"gem. BVerfGE v. 3.3.2004 (1 BvR 2378/98, 1 BvR 1084/99)
",56
245,"Art 14 
",8
246,"
",1
247," 
",2
248,"
",1
249,"(1) Das Eigentum und das Erbrecht werden gewährleistet. Inhalt und Schranken werden durch die Gesetze
",102
250,"bestimmt.
",10
251,"(2) Eigentum verpflichtet. Sein Gebrauch soll zugleich dem Wohle der Allgemeinheit dienen.
",91
252,"(3) Eine Enteignung ist nur zum Wohle der Allgemeinheit zulässig. Sie darf nur durch Gesetz oder auf
",101
253,"Grund eines Gesetzes erfolgen, das Art und Ausmaß der Entschädigung regelt. Die Entschädigung ist unter
",104
254,"gerechter Abwägung der Interessen der Allgemeinheit und der Beteiligten zu bestimmen. Wegen der Höhe der
",105
255,"Entschädigung steht im Streitfalle der Rechtsweg vor den ordentlichen Gerichten offen.
",87
256,"Art 15 
",8
257,"
",1
258," 
",2
259,"
",1
260,"Grund und Boden, Naturschätze und Produktionsmittel können zum Zwecke der Vergesellschaftung durch
",99
261,"ein Gesetz, das Art und Ausmaß der Entschädigung regelt, in Gemeineigentum oder in andere Formen der
",101
262,"Gemeinwirtschaft überführt werden. Für die Entschädigung gilt Artikel 14 Abs. 3 Satz 3 und 4 entsprechend.
",107
263,"Art 16 
",8
264,"
",1
265," 
",2
266,"
",1
267,"(1) Die deutsche Staatsangehörigkeit darf nicht entzogen werden. Der Verlust der Staatsangehörigkeit darf
",106
268,"nur auf Grund eines Gesetzes und gegen den Willen des Betroffenen nur dann eintreten, wenn der Betroffene
",106
269,"dadurch nicht staatenlos wird.
",31
270,"(2) Kein Deutscher darf an das Ausland ausgeliefert werden. Durch Gesetz kann eine abweichende Regelung
",104
271,"für Auslieferungen an einen Mitgliedstaat der Europäischen Union oder an einen internationalen Gerichtshof
",107
272,"getroffen werden, soweit rechtsstaatliche Grundsätze gewahrt sind.
",67
273,"Art 16a 
",9
274,"
",1
275," 
",2
276,"
",1
277,"(1) Politisch Verfolgte genießen Asylrecht.
",44
278,"(2) Auf Absatz 1 kann sich nicht berufen, wer aus einem Mitgliedstaat der Europäischen Gemeinschaften oder
",107
279,"aus einem anderen Drittstaat einreist, in dem die Anwendung des Abkommens über die Rechtsstellung der
",102
280,"Flüchtlinge und der Konvention zum Schutze der Menschenrechte und Grundfreiheiten sichergestellt ist. Die
",106
281,"Staaten außerhalb der Europäischen Gemeinschaften, auf die die Voraussetzungen des Satzes 1 zutreffen,
",103
282,"werden durch Gesetz, das der Zustimmung des Bundesrates bedarf, bestimmt. In den Fällen des Satzes 1 können
",108
283,"
",1
284,"- Seite 5 von 50 -
",19
285,"
",1
286,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
287,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
288,"
",1
289,"aufenthaltsbeendende Maßnahmen unabhängig von einem hiergegen eingelegten Rechtsbehelf vollzogen
",97
290,"werden.
",8
291,"(3) Durch Gesetz, das der Zustimmung des Bundesrates bedarf, können Staaten bestimmt werden, bei denen
",103
292,"auf Grund der Rechtslage, der Rechtsanwendung und der allgemeinen politischen Verhältnisse gewährleistet
",105
293,"erscheint, daß dort weder politische Verfolgung noch unmenschliche oder erniedrigende Bestrafung oder
",102
294,"Behandlung stattfindet. Es wird vermutet, daß ein Ausländer aus einem solchen Staat nicht verfolgt wird, solange
",113
295,"er nicht Tatsachen vorträgt, die die Annahme begründen, daß er entgegen dieser Vermutung politisch verfolgt
",108
296,"wird.
",6
297,"(4) Die Vollziehung aufenthaltsbeendender Maßnahmen wird in den Fällen des Absatzes 3 und in anderen
",101
298,"Fällen, die offensichtlich unbegründet sind oder als offensichtlich unbegründet gelten, durch das Gericht nur
",110
299,"ausgesetzt, wenn ernstliche Zweifel an der Rechtmäßigkeit der Maßnahme bestehen; der Prüfungsumfang kann
",105
300,"eingeschränkt werden und verspätetes Vorbringen unberücksichtigt bleiben. Das Nähere ist durch Gesetz zu
",105
301,"bestimmen.
",11
302,"(5) Die Absätze 1 bis 4 stehen völkerrechtlichen Verträgen von Mitgliedstaaten der Europäischen
",96
303,"Gemeinschaften untereinander und mit dritten Staaten nicht entgegen, die unter Beachtung der Verpflichtungen
",109
304,"aus dem Abkommen über die Rechtsstellung der Flüchtlinge und der Konvention zum Schutze der
",92
305,"Menschenrechte und Grundfreiheiten, deren Anwendung in den Vertragsstaaten sichergestellt sein muß,
",100
306,"Zuständigkeitsregelungen für die Prüfung von Asylbegehren einschließlich der gegenseitigen Anerkennung von
",107
307,"Asylentscheidungen treffen.
",28
308,"Fußnote
",8
309,"Art. 16a: Eingef. durch Art. 1 Nr. 2 G v. 28.6.1993 I 1002 mWv 30.6.1993; mit Art. 79 Abs. 3 GG (100-1) vereinbar
",114
310,"gem. BVerfGE v. 14.5.1996 I 952 (2 BvR 1938/93, 2 BvR 2315/93)
",63
311,"Art 17 
",8
312,"
",1
313," 
",2
314,"
",1
315,"Jedermann hat das Recht, sich einzeln oder in Gemeinschaft mit anderen schriftlich mit Bitten oder Beschwerden
",111
316,"an die zuständigen Stellen und an die Volksvertretung zu wenden.
",65
317,"Art 17a 
",9
318,"
",1
319," 
",2
320,"
",1
321,"(1) Gesetze über Wehrdienst und Ersatzdienst können bestimmen, daß für die Angehörigen der Streitkräfte und
",108
322,"des Ersatzdienstes während der Zeit des Wehr- oder Ersatzdienstes das Grundrecht, seine Meinung in Wort,
",105
323,"Schrift und Bild frei zu äußern und zu verbreiten (Artikel 5 Abs. 1 Satz 1 erster Halbsatz), das Grundrecht der
",112
324,"Versammlungsfreiheit (Artikel 8) und das Petitionsrecht (Artikel 17), soweit es das Recht gewährt, Bitten oder
",111
325,"Beschwerden in Gemeinschaft mit anderen vorzubringen, eingeschränkt werden.
",76
326,"(2) Gesetze, die der Verteidigung einschließlich des Schutzes der Zivilbevölkerung dienen, können bestimmen,
",109
327,"daß die Grundrechte der Freizügigkeit (Artikel 11) und der Unverletzlichkeit der Wohnung (Artikel 13)
",102
328,"eingeschränkt werden.
",22
329,"Art 18 
",8
330,"
",1
331," 
",2
332,"
",1
333,"Wer die Freiheit der Meinungsäußerung, insbesondere die Pressefreiheit (Artikel 5 Abs. 1), die Lehrfreiheit
",108
334,"(Artikel 5 Abs. 3), die Versammlungsfreiheit (Artikel 8), die Vereinigungsfreiheit (Artikel 9), das Brief-, Post- und
",118
335,"Fernmeldegeheimnis (Artikel 10), das Eigentum (Artikel 14) oder das Asylrecht (Artikel 16a) zum Kampfe gegen
",109
336,"die freiheitliche demokratische Grundordnung mißbraucht, verwirkt diese Grundrechte. Die Verwirkung und ihr
",108
337,"Ausmaß werden durch das Bundesverfassungsgericht ausgesprochen.
",64
338,"Art 19 
",8
339,"
",1
340," 
",2
341,"
",1
342,"(1) Soweit nach diesem Grundgesetz ein Grundrecht durch Gesetz oder auf Grund eines Gesetzes eingeschränkt
",107
343,"werden kann, muß das Gesetz allgemein und nicht nur für den Einzelfall gelten. Außerdem muß das Gesetz das
",107
344,"Grundrecht unter Angabe des Artikels nennen.
",45
345,"(2) In keinem Falle darf ein Grundrecht in seinem Wesensgehalt angetastet werden.
",82
346,"(3) Die Grundrechte gelten auch für inländische juristische Personen, soweit sie ihrem Wesen nach auf diese
",108
347,"anwendbar sind.
",16
348,"- Seite 6 von 50 -
",19
349,"
",1
350,"Ein Service des Bundesministeriums der Justiz und für Verbraucherschutz
",73
351,"sowie des Bundesamts für Justiz ‒ www.gesetze-im-internet.de
",61
352,"
",1
353,"(4) Wird jemand durch die öffentliche Gewalt in seinen Rechten verletzt, so steht ihm der Rechtsweg offen.
",107
354,"Soweit eine andere Zuständigkeit nicht begründet ist, ist der ordentliche Rechtsweg gegeben. Artikel 10 Abs. 2
",111
355,"Satz 2 bleibt unberührt.
",25
356,"
",1
357,"II.
",4
358,"Der Bund und die Länder
",24
359,"Art 20 
",8
360,"
",1
361," 
",2
362,"
",1
363,"(1) Die Bundesrepublik Deutschland ist ein demokratischer und sozialer Bundesstaat.
",84
364,"(2) Alle Staatsgewalt geht vom Volke aus. Sie wird vom Volke in Wahlen und Abstimmungen und durch
",98
365,"besondere Organe der Gesetzgebung, der vollziehenden Gewalt und der Rechtsprechung ausgeübt.
",93
366,"(3) Die Gesetzgebung ist an die verfassungsmäßige Ordnung, die vollziehende Gewalt und die Rechtsprechung
",106
367,"sind an Gesetz und Recht gebunden.
",35
368,"(4) Gegen jeden, der es unternimmt, diese Ordnung zu beseitigen, haben alle Deutschen das Recht zum
",100
369,"Widerstand, wenn andere Abhilfe nicht möglich ist.
",51
370,"Art 20a 
",9
371,"
",1
372," 
",2
373,"
",1
374,"Der Staat schützt auch in Verantwortung für die künftigen Generationen die natürlichen Lebensgrundlagen und
",108
375,"die Tiere im Rahmen der verfassungsmäßigen Ordnung durch die Gesetzgebung und nach Maßgabe von Gesetz
",102
376,"und Recht durch die vollziehende Gewalt und die Rechtsprechung.
",64
377,"Art 21 
",8
378,"
",1
379," 
",2
380,"
",1
381,"(1) Die Parteien wirken bei der politischen Willensbildung des Volkes mit. Ihre Gründung ist frei. Ihre innere
",111
382,"Ordnung muß demokratischen Grundsätzen entsprechen. Sie müssen über die Herkunft und Verwendung ihrer
",102
383,"Mittel sowie über ihr Vermögen öffentlich Rechenschaft geben.
",62
384,"(2) Parteien, die nach ihren Zielen oder nach dem Verhalten ihrer Anhänger darauf ausgehen, die freiheitliche
",110
385,"demokratische Grundordnung zu beeinträchtigen oder zu beseitigen oder den Bestand der Bundesrepublik
",101
386,"Deutschland zu gefährden, sind verfassungswidrig.
",50
387,"(3) Parteien, die nach ihren Zielen oder dem Verhalten ihrer Anhänger darauf ausgerichtet sind, die freiheitliche
",114
388,"demokratische Grundordnung zu beeinträchtigen oder zu beseitigen oder den Bestand der Bundesrepublik
",101
389,"Deutschland zu gefährden, sind von staatlicher Finanzierung ausgeschlossen. Wird der Ausschluss festgestellt, so
",113
390,"entfällt auch eine steuerliche Begünstigung dieser Parteien und von Zuwendungen an diese Parteien.
",99
